phase,writer,component,value
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_chi,0.5762410752890144
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_chi,0.5762410752890145
t3_00_RESTRICT,RESTRICT,z4c_chi,0.5762410752890145
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_chi,0.5762410752890145
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_chi,0.5762410752890145
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_chi,0.5762410752890145
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_chi,0.5762410752890145
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_chi,0.5762410752890145
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_chi,0.5762410752890145
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_chi,0.5762410752890145
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_chi,0.5762410752890145
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_gxx,1.0935898398951696
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_gxx,1.0935898398951696
t3_00_RESTRICT,RESTRICT,z4c_gxx,1.0935898398951696
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gxx,1.0935898398951696
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gxx,1.0935898398951696
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gxx,1.0935898398951696
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gxx,1.0935898398951696
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gxx,1.0935898398951696
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gxx,1.0935898398951696
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gxx,1.093592679144261
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gxx,1.093592679144261
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_gxy,-0.0013215024989174453
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_gxy,-0.0013215024989174453
t3_00_RESTRICT,RESTRICT,z4c_gxy,-0.0013215024989174453
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gxy,-0.0013215024989174453
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gxy,-0.0013215024989174453
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gxy,-0.0013215024989174453
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gxy,-0.0013215024989174453
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gxy,-0.0013215024989174453
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gxy,-0.0013215024989174453
