stage,phase,component,delta_l2_unweighted,delta_max_abs
T0_TO_T3_REPRESENTATION_AND_BOUNDARY,t3_06_PHYSICAL_OR_AXIS_BC,con_C,479.7040784943014,147.45580333159432
T0_TO_T3_REPRESENTATION_AND_BOUNDARY,t3_06_PHYSICAL_OR_AXIS_BC,con_H,26.39685456491625,8.281966975184975
T0_TO_T3_REPRESENTATION_AND_BOUNDARY,t3_06_PHYSICAL_OR_AXIS_BC,con_M,376.1821193595718,105.40995592307898
T0_TO_T3_REPRESENTATION_AND_BOUNDARY,t3_06_PHYSICAL_OR_AXIS_BC,con_Z,0.02197142140862572,0.009319384100424342
T0_TO_T3_REPRESENTATION_AND_BOUNDARY,t3_06_PHYSICAL_OR_AXIS_BC,con_Mx,58.9985677798494,13.275967838960545
T0_TO_T3_REPRESENTATION_AND_BOUNDARY,t3_06_PHYSICAL_OR_AXIS_BC,con_My,52.21462516789279,10.778807952238576
T0_TO_T3_REPRESENTATION_AND_BOUNDARY,t3_06_PHYSICAL_OR_AXIS_BC,con_Mz,0.0,0.0
ALGEBRAIC_PROJECTION,t4_00_ALGEBRAIC_PROJECTION,con_C,6.8719591576260886,2.2918855036450054
ALGEBRAIC_PROJECTION,t4_00_ALGEBRAIC_PROJECTION,con_H,0.15455977719163183,0.04711091310179416
ALGEBRAIC_PROJECTION,t4_00_ALGEBRAIC_PROJECTION,con_M,6.515404496954618,1.9613884522173919
ALGEBRAIC_PROJECTION,t4_00_ALGEBRAIC_PROJECTION,con_Z,5.23943402137763e-05,1.9579791492838755e-05
ALGEBRAIC_PROJECTION,t4_00_ALGEBRAIC_PROJECTION,con_Mx,0.3964973893961191,0.10526161552710889
ALGEBRAIC_PROJECTION,t4_00_ALGEBRAIC_PROJECTION,con_My,0.8963057422973343,0.24001643740098366
ALGEBRAIC_PROJECTION,t4_00_ALGEBRAIC_PROJECTION,con_Mz,0.0,0.0
ADM_OR_CONSTRAINT_RECOMPUTATION,t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,con_C,0.0,0.0
ADM_OR_CONSTRAINT_RECOMPUTATION,t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,con_H,0.0,0.0
ADM_OR_CONSTRAINT_RECOMPUTATION,t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,con_M,0.0,0.0
ADM_OR_CONSTRAINT_RECOMPUTATION,t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,con_Z,0.0,0.0
ADM_OR_CONSTRAINT_RECOMPUTATION,t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,con_Mx,0.0,0.0
ADM_OR_CONSTRAINT_RECOMPUTATION,t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,con_My,0.0,0.0
ADM_OR_CONSTRAINT_RECOMPUTATION,t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,con_Mz,0.0,0.0
