cycle,time,gid,level,region,component,eta4
1,0.020949130973875758,0,2,clean_interior,z4c_chi,6.9546345479791865e-06
1,0.020949130973875758,0,2,clean_interior,z4c_gxx,8.796098149941733e-07
1,0.020949130973875758,0,2,clean_interior,z4c_gxy,0.00033233100137457482
1,0.020949130973875758,0,2,clean_interior,z4c_gxz,0.0027295056852395167
1,0.020949130973875758,0,2,clean_interior,z4c_gyy,1.2865453908058424e-06
1,0.020949130973875758,0,2,clean_interior,z4c_gyz,0.0007540490503993053
1,0.020949130973875758,0,2,clean_interior,z4c_gzz,5.1681749587782906e-07
1,0.020949130973875758,0,2,clean_interior,z4c_Khat,1.7339263413272059
1,0.020949130973875758,0,2,clean_interior,z4c_Axx,0.13885461388736073
1,0.020949130973875758,0,2,clean_interior,z4c_Axy,0.29579511341351072
1,0.020949130973875758,0,2,clean_interior,z4c_Axz,0.0029176805567736079
1,0.020949130973875758,0,2,clean_interior,z4c_Ayy,0.14006570888151393
1,0.020949130973875758,0,2,clean_interior,z4c_Ayz,0.00089446518653622407
1,0.020949130973875758,0,2,clean_interior,z4c_Azz,0.14176933854338561
1,0.020949130973875758,0,2,clean_interior,z4c_Gamx,0.00031187969654694142
1,0.020949130973875758,0,2,clean_interior,z4c_Gamy,0.00049915670934314884
1,0.020949130973875758,0,2,clean_interior,z4c_Gamz,0.15596621485630774
1,0.020949130973875758,0,2,clean_interior,z4c_Theta,3.986514540131838
1,0.020949130973875758,0,2,clean_interior,z4c_alpha,4.8465466073031331e-06
1,0.020949130973875758,0,2,clean_interior,z4c_betax,0
1,0.020949130973875758,0,2,clean_interior,z4c_betay,0
1,0.020949130973875758,0,2,clean_interior,z4c_betaz,0
1,0.020949130973875758,0,2,clean_interior,z4c_Bx,0
1,0.020949130973875758,0,2,clean_interior,z4c_By,0
1,0.020949130973875758,0,2,clean_interior,z4c_Bz,0
1,0.020949130973875758,0,2,block_edge,z4c_chi,8.8231847584770533e-05
1,0.020949130973875758,0,2,block_edge,z4c_gxx,2.7169662951550466e-06
1,0.020949130973875758,0,2,block_edge,z4c_gxy,0.0012268177179503826
1,0.020949130973875758,0,2,block_edge,z4c_gxz,0.015875684865669433
1,0.020949130973875758,0,2,block_edge,z4c_gyy,3.562965621867217e-06
1,0.020949130973875758,0,2,block_edge,z4c_gyz,0.0041929641087432188
1,0.020949130973875758,0,2,block_edge,z4c_gzz,1.7683295769545244e-06
1,0.020949130973875758,0,2,block_edge,z4c_Khat,2.0205474533103147
1,0.020949130973875758,0,2,block_edge,z4c_Axx,0.35516357543908705
1,0.020949130973875758,0,2,block_edge,z4c_Axy,0.5282232264717085
1,0.020949130973875758,0,2,block_edge,z4c_Axz,0.016770963565822323
1,0.020949130973875758,0,2,block_edge,z4c_Ayy,0.35487278457051019
1,0.020949130973875758,0,2,block_edge,z4c_Ayz,0.0049317763955278879
1,0.020949130973875758,0,2,block_edge,z4c_Azz,0.3552948635512102
1,0.020949130973875758,0,2,block_edge,z4c_Gamx,0.0021676915651878351
1,0.020949130973875758,0,2,block_edge,z4c_Gamy,0.0020438270396089518
1,0.020949130973875758,0,2,block_edge,z4c_Gamz,0.36456845280946304
1,0.020949130973875758,0,2,block_edge,z4c_Theta,3.9904083881069572
1,0.020949130973875758,0,2,block_edge,z4c_alpha,4.738612339500342e-05
1,0.020949130973875758,0,2,block_edge,z4c_betax,0
1,0.020949130973875758,0,2,block_edge,z4c_betay,0
1,0.020949130973875758,0,2,block_edge,z4c_betaz,0
1,0.020949130973875758,0,2,block_edge,z4c_Bx,0
1,0.020949130973875758,0,2,block_edge,z4c_By,0
1,0.020949130973875758,0,2,block_edge,z4c_Bz,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_chi,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_gxx,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_gxy,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_gxz,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_gyy,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_gyz,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_gzz,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_Khat,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_Axx,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_Axy,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_Axz,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_Ayy,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_Ayz,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_Azz,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_Gamx,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_Gamy,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_Gamz,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_Theta,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_alpha,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_betax,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_betay,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_betaz,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_Bx,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_By,0
1,0.020949130973875758,0,2,coarse_fine_adjacent_block,z4c_Bz,0
1,0.020949130973875758,1,2,clean_interior,z4c_chi,1.4795814876561825e-06
1,0.020949130973875758,1,2,clean_interior,z4c_gxx,1.4293691075924703e-07
1,0.020949130973875758,1,2,clean_interior,z4c_gxy,3.4247447018481251e-05
1,0.020949130973875758,1,2,clean_interior,z4c_gxz,0.0004292645608904992
1,0.020949130973875758,1,2,clean_interior,z4c_gyy,1.5175201237543275e-07
1,0.020949130973875758,1,2,clean_interior,z4c_gyz,0.00041398202024829633
1,0.020949130973875758,1,2,clean_interior,z4c_gzz,4.1684364440080648e-08
1,0.020949130973875758,1,2,clean_interior,z4c_Khat,2.1078586174300469
1,0.020949130973875758,1,2,clean_interior,z4c_Axx,2.8039534096669092
1,0.020949130973875758,1,2,clean_interior,z4c_Axy,0.23547561803195002
1,0.020949130973875758,1,2,clean_interior,z4c_Axz,0.0008452034794079711
1,0.020949130973875758,1,2,clean_interior,z4c_Ayy,1.3333583898451078
1,0.020949130973875758,1,2,clean_interior,z4c_Ayz,0.00082652761174735836
1,0.020949130973875758,1,2,clean_interior,z4c_Azz,0.26810083927734063
1,0.020949130973875758,1,2,clean_interior,z4c_Gamx,0.00041530823506039262
1,0.020949130973875758,1,2,clean_interior,z4c_Gamy,0.00052688788269130912
1,0.020949130973875758,1,2,clean_interior,z4c_Gamz,0.27732627377953006
1,0.020949130973875758,1,2,clean_interior,z4c_Theta,4.6329894438738251
1,0.020949130973875758,1,2,clean_interior,z4c_alpha,7.7567839486192116e-07
1,0.020949130973875758,1,2,clean_interior,z4c_betax,0
1,0.020949130973875758,1,2,clean_interior,z4c_betay,0
1,0.020949130973875758,1,2,clean_interior,z4c_betaz,0
1,0.020949130973875758,1,2,clean_interior,z4c_Bx,0
1,0.020949130973875758,1,2,clean_interior,z4c_By,0
1,0.020949130973875758,1,2,clean_interior,z4c_Bz,0
1,0.020949130973875758,1,2,block_edge,z4c_chi,3.9783728408723775e-05
1,0.020949130973875758,1,2,block_edge,z4c_gxx,3.1263562086994089e-06
1,0.020949130973875758,1,2,block_edge,z4c_gxy,0.00038540136578350283
1,0.020949130973875758,1,2,block_edge,z4c_gxz,0.0038674460066469578
1,0.020949130973875758,1,2,block_edge,z4c_gyy,3.7402553105961777e-06
1,0.020949130973875758,1,2,block_edge,z4c_gyz,0.0021548166272210008
1,0.020949130973875758,1,2,block_edge,z4c_gzz,6.9809874951714829e-07
1,0.020949130973875758,1,2,block_edge,z4c_Khat,2.802658285153381
1,0.020949130973875758,1,2,block_edge,z4c_Axx,2.4752704968843777
