resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z
n128,0.0,0.0,shell_4_8,M,0.0,5728.244185817153,0.0,0.0,0.0,-8.0,0.0,-8.0
n128,0.0,0.0,shell_4_8,Z,0.0001785469638244248,5728.244185817153,7.348950040588709e-06,0.001203714890714633,5.25,-0.25,5.25,0.0
n128,0.0,0.0,shell_8_12,C,1.139296470701063e-08,10662.336111316848,1.0572179779172875e-09,1.558552565341245e-05,8.0,-0.25,8.0,-0.25
n128,0.0,0.0,shell_8_12,H,1.7883385790880163e-09,10662.336111316848,8.364298436009164e-11,4.3907762119488325e-06,8.0,-0.5,8.0,-0.5
n128,0.0,0.0,shell_8_12,M,0.0,10662.336111316848,0.0,0.0,0.0,-12.0,0.0,-12.0
n128,0.0,0.0,shell_8_12,Z,2.401156574562129e-09,10662.336111316848,2.441095249895685e-10,7.4891330686369596e-06,8.0,-0.25,8.0,-0.25
n128,0.0,0.0,shell_12_16,C,3.559475976090155e-14,17097.080276840603,5.040340693185895e-15,2.3508700120452485e-08,15.75,-0.25,16.0,0.0
n128,0.0,0.0,shell_12_16,H,3.559476129857588e-14,17097.080276840603,5.040340869183701e-15,2.3508698987484422e-08,15.75,-0.25,16.0,0.0
n128,0.0,0.0,shell_12_16,M,0.0,17097.080276840603,0.0,0.0,0.0,-16.0,0.0,-16.0
n128,0.0,0.0,shell_12_16,Z,7.848910848505437e-28,17097.080276840603,3.4183443037025644e-30,6.295511944544812e-16,14.5,-3.5,10.0,-7.25
n128,0.0,0.0,shell_gt_16,C,1.4424665398029129e-08,14255668.919171356,3.4301725814882197e-10,4.4824801685718253e-07,128.0,-2.0,128.0,0.0
n128,0.0,0.0,shell_gt_16,H,1.442466543383305e-08,14255668.919171356,3.430172800699115e-10,4.482480164824665e-07,128.0,-2.0,128.0,0.0
n128,0.0,0.0,shell_gt_16,M,0.0,14255668.919171356,0.0,0.0,0.0,-128.0,0.0,-128.0
n128,0.0,0.0,shell_gt_16,Z,8.280401485188943e-27,14255668.919171356,1.481761934439345e-29,5.968615185016633e-16,100.0,-94.0,9.5,-13.25
n128,0.25015903882253054,0.1540670901698768,R4,C,0.00014676884016588156,1137.0615444454938,8.838769934248997e-06,0.0033547401035117,3.875,-0.125,4.0,0.0
n128,0.25015903882253054,0.1540670901698768,R4,H,4.84895037988294e-06,1137.0615444454938,3.61981821960916e-07,0.0012459361460059881,3.875,-0.375,4.0,0.0
n128,0.25015903882253054,0.1540670901698768,R4,M,2.4411677938783294e-05,1137.0615444454938,2.2404276260386935e-06,0.001994128092682702,3.875,-0.125,4.0,0.0
n128,0.25015903882253054,0.1540670901698768,R4,Z,2.8916504337621923e-05,1137.0615444454938,1.5703158539288238e-06,0.0013785413786832337,3.875,-0.125,4.0,0.0
n128,0.25015903882253054,0.1540670901698768,R8,C,0.03618915005494697,6876.837401903289,0.0002933373707842163,0.025846026334036716,5.5,-0.25,5.5,-0.25
n128,0.25015903882253054,0.1540670901698768,R8,H,0.0073557276433195975,6876.837401903289,0.00020238928461749236,0.02146860584616661,5.5,-0.25,5.5,-0.25
n128,0.25015903882253054,0.1540670901698768,R8,M,0.011517901970373104,6876.837401903289,0.00011585373356770646,0.017781117864025198,5.5625,-0.0625,5.5625,0.0
n128,0.25015903882253054,0.1540670901698768,R8,Z,0.0041858182379920835,6876.837401903289,1.6618348325636444e-05,0.006133381965570021,4.875,-0.1875,4.875,-0.1875
n128,0.25015903882253054,0.1540670901698768,R12,C,0.03618929784191808,17520.7318578007,0.0002933373707842163,0.025846026334036716,5.5,-0.25,5.5,-0.25
n128,0.25015903882253054,0.1540670901698768,R12,H,0.007355756345132078,17520.7318578007,0.00020238928461749236,0.02146860584616661,5.5,-0.25,5.5,-0.25
n128,0.25015903882253054,0.1540670901698768,R12,M,0.01151792304527128,17520.7318578007,0.00011585373356770646,0.017781117864025198,5.5625,-0.0625,5.5625,0.0
n128,0.25015903882253054,0.1540670901698768,R12,Z,0.004185838905360126,17520.7318578007,1.6618348325636444e-05,0.006133381965570021,4.875,-0.1875,4.875,-0.1875
n128,0.25015903882253054,0.1540670901698768,R14,C,0.03618929784191999,25206.221390846087,0.0002933373707842163,0.025846026334036716,5.5,-0.25,5.5,-0.25
n128,0.25015903882253054,0.1540670901698768,R14,H,0.007355756345133897,25206.221390846087,0.00020238928461749236,0.02146860584616661,5.5,-0.25,5.5,-0.25
n128,0.25015903882253054,0.1540670901698768,R14,M,0.011517923045271354,25206.221390846087,0.00011585373356770646,0.017781117864025198,5.5625,-0.0625,5.5625,0.0
n128,0.25015903882253054,0.1540670901698768,R14,Z,0.004185838905360126,25206.221390846087,1.6618348325636444e-05,0.006133381965570021,4.875,-0.1875,4.875,-0.1875
n128,0.25015903882253054,0.1540670901698768,full,C,0.03618931233003667,14290300.036372233,0.0002933373707842163,0.025846026334036716,5.5,-0.25,5.5,-0.25
n128,0.25015903882253054,0.1540670901698768,full,H,0.007355770823573324,14290300.036372233,0.00020238928461749236,0.02146860584616661,5.5,-0.25,5.5,-0.25
n128,0.25015903882253054,0.1540670901698768,full,M,0.011517923051662835,14290300.036372233,0.00011585373356770646,0.017781117864025198,5.5625,-0.0625,5.5625,0.0
n128,0.25015903882253054,0.1540670901698768,full,Z,0.004185838905427395,14290300.036372233,1.6618348325636444e-05,0.006133381965570021,4.875,-0.1875,4.875,-0.1875
n128,0.25015903882253054,0.1540670901698768,shell_0_4,C,0.00014676884016588156,1137.0615444454938,8.838769934248997e-06,0.0033547401035117,3.875,-0.125,4.0,0.0
n128,0.25015903882253054,0.1540670901698768,shell_0_4,H,4.84895037988294e-06,1137.0615444454938,3.61981821960916e-07,0.0012459361460059881,3.875,-0.375,4.0,0.0
n128,0.25015903882253054,0.1540670901698768,shell_0_4,M,2.4411677938783294e-05,1137.0615444454938,2.2404276260386935e-06,0.001994128092682702,3.875,-0.125,4.0,0.0
n128,0.25015903882253054,0.1540670901698768,shell_0_4,Z,2.8916504337621923e-05,1137.0615444454938,1.5703158539288238e-06,0.0013785413786832337,3.875,-0.125,4.0,0.0
n128,0.25015903882253054,0.1540670901698768,shell_4_8,C,0.03604238121478109,5739.7758574577965,0.0002933373707842163,0.025846026334036716,5.5,-0.25,5.5,-0.25
n128,0.25015903882253054,0.1540670901698768,shell_4_8,H,0.007350878692939715,5739.7758574577965,0.00020238928461749236,0.02146860584616661,5.5,-0.25,5.5,-0.25
n128,0.25015903882253054,0.1540670901698768,shell_4_8,M,0.01149349029243432,5739.7758574577965,0.00011585373356770646,0.017781117864025198,5.5625,-0.0625,5.5625,0.0
n128,0.25015903882253054,0.1540670901698768,shell_4_8,Z,0.004156901733654461,5739.7758574577965,1.6618348325636444e-05,0.006133381965570021,4.875,-0.1875,4.875,-0.1875
n128,0.25015903882253054,0.1540670901698768,shell_8_12,C,1.4778697110420385e-07,10643.894455897416,7.523381953597924e-09,8.312914309018487e-05,8.0,-0.125,8.0,-0.125
n128,0.25015903882253054,0.1540670901698768,shell_8_12,H,2.8701812480598177e-08,10643.894455897416,4.167472863422949e-09,2.5510222258162685e-05,8.25,-0.25,8.25,0.0
n128,0.25015903882253054,0.1540670901698768,shell_8_12,M,2.1074898176856336e-08,10643.894455897416,1.3118839897971606e-09,2.656948913130548e-05,8.25,-0.75,8.0,-0.125
n128,0.25015903882253054,0.1540670901698768,shell_8_12,Z,2.066736804174516e-08,10643.894455897416,1.620787623192238e-09,3.858422700616354e-05,8.0,-0.125,8.0,-0.125
n128,0.25015903882253054,0.1540670901698768,shell_12_16,C,2.36378595329107e-14,17081.713213121788,2.395434907588438e-15,1.5549025292764855e-08,15.75,-0.25,16.0,0.0
n128,0.25015903882253054,0.1540670901698768,shell_12_16,H,1.5750616346846595e-14,17081.713213121788,1.3491677570594218e-15,1.2503711843692145e-08,15.75,-0.25,16.0,0.0
n128,0.25015903882253054,0.1540670901698768,shell_12_16,M,7.776274087579965e-15,17081.713213121788,1.036998940299001e-15,1.0094474770720711e-08,15.75,-0.25,15.75,-0.25
n128,0.25015903882253054,0.1540670901698768,shell_12_16,Z,2.2072852636318393e-18,17081.713213121788,1.386850978958708e-19,1.20961446365565e-10,15.75,-0.5,15.75,0.0
n128,0.25015903882253054,0.1540670901698768,shell_gt_16,C,1.4488094968062235e-08,14255697.59130131,3.4466287506518707e-10,4.493218219607803e-07,128.0,-2.0,128.0,0.0
n128,0.25015903882253054,0.1540670901698768,shell_gt_16,H,1.447842549461217e-08,14255697.59130131,3.445502840327423e-10,4.4924848907612613e-07,128.0,-2.0,128.0,0.0
n128,0.25015903882253054,0.1540670901698768,shell_gt_16,M,6.383787604910947e-12,14255697.59130131,1.0730268243124204e-13,8.889155367141082e-09,128.0,-2.0,16.0,0.5
n128,0.25015903882253054,0.1540670901698768,shell_gt_16,Z,6.726769926032383e-14,14255697.59130131,8.489063557300141e-16,7.046816436901978e-10,128.0,-2.0,128.0,0.0
n128,0.5072046568982707,0.3123754969434922,R4,C,0.000251638468895676,1129.5754468973025,1.680526735133623e-05,0.005655174511533515,3.875,-0.125,4.0,0.0
n128,0.5072046568982707,0.3123754969434922,R4,H,9.161058814992275e-05,1129.5754468973025,1.0830753454885537e-05,0.0048448629677295685,4.0,0.0,4.0,0.0
n128,0.5072046568982707,0.3123754969434922,R4,M,5.695795210041123e-06,1129.5754468973025,2.480524888091738e-07,0.0007108063989609071,3.875,-0.5,4.0,0.0
n128,0.5072046568982707,0.3123754969434922,R4,Z,3.7205866979530546e-05,1129.5754468973025,2.3547106209718323e-06,0.0013837410936055857,3.875,-0.125,4.0,0.0
n128,0.5072046568982707,0.3123754969434922,R8,C,0.035220843726712574,6876.534718586574,0.0008490684726158655,0.021465118811470296,5.75,-0.125,5.375,0.0
n128,0.5072046568982707,0.3123754969434922,R8,H,0.020575113375599995,6876.534718586574,0.0007805243397255606,0.01945190690457821,5.75,-0.125,5.375,0.0
n128,0.5072046568982707,0.3123754969434922,R8,M,0.004023654691707877,6876.534718586574,0.000206014368218862,0.009675821889189239,5.125,-0.125,5.125,-0.125
n128,0.5072046568982707,0.3123754969434922,R8,Z,0.0023858626954450326,6876.534718586574,3.507358406756958e-05,0.0041115396158823495,4.75,-0.25,4.75,-0.25
n128,0.5072046568982707,0.3123754969434922,R12,C,0.035221560058412954,17520.457820068208,0.0008490684726158655,0.021465118811470296,5.75,-0.125,5.375,0.0
n128,0.5072046568982707,0.3123754969434922,R12,H,0.02057533010855045,17520.457820068208,0.0007805243397255606,0.01945190690457821,5.75,-0.125,5.375,0.0
n128,0.5072046568982707,0.3123754969434922,R12,M,0.004023751365624286,17520.457820068208,0.000206014368218862,0.009675821889189239,5.125,-0.125,5.125,-0.125
n128,0.5072046568982707,0.3123754969434922,R12,Z,0.002385946466968079,17520.457820068208,3.507358406756958e-05,0.0041115396158823495,4.75,-0.25,4.75,-0.25
n128,0.5072046568982707,0.3123754969434922,R14,C,0.03522156005841517,25205.983076806824,0.0008490684726158655,0.021465118811470296,5.75,-0.125,5.375,0.0
n128,0.5072046568982707,0.3123754969434922,R14,H,0.02057533010855225,25205.983076806824,0.0007805243397255606,0.01945190690457821,5.75,-0.125,5.375,0.0
n128,0.5072046568982707,0.3123754969434922,R14,M,0.004023751365624586,25205.983076806824,0.000206014368218862,0.009675821889189239,5.125,-0.125,5.125,-0.125
n128,0.5072046568982707,0.3123754969434922,R14,Z,0.002385946466968093,25205.983076806824,3.507358406756958e-05,0.0041115396158823495,4.75,-0.25,4.75,-0.25
n128,0.5072046568982707,0.3123754969434922,full,C,0.03522157471959092,14290300.016997097,0.0008490684726158655,0.021465118811470296,5.75,-0.125,5.375,0.0
n128,0.5072046568982707,0.3123754969434922,full,H,0.020575344733421173,14290300.016997097,0.0007805243397255606,0.01945190690457821,5.75,-0.125,5.375,0.0
n128,0.5072046568982707,0.3123754969434922,full,M,0.004023751385414164,14290300.016997097,0.000206014368218862,0.009675821889189239,5.125,-0.125,5.125,-0.125
n128,0.5072046568982707,0.3123754969434922,full,Z,0.0023859464679133846,14290300.016997097,3.507358406756958e-05,0.0041115396158823495,4.75,-0.25,4.75,-0.25
n128,0.5072046568982707,0.3123754969434922,shell_0_4,C,0.000251638468895676,1129.5754468973025,1.680526735133623e-05,0.005655174511533515,3.875,-0.125,4.0,0.0
n128,0.5072046568982707,0.3123754969434922,shell_0_4,H,9.161058814992275e-05,1129.5754468973025,1.0830753454885537e-05,0.0048448629677295685,4.0,0.0,4.0,0.0
n128,0.5072046568982707,0.3123754969434922,shell_0_4,M,5.695795210041123e-06,1129.5754468973025,2.480524888091738e-07,0.0007108063989609071,3.875,-0.5,4.0,0.0
n128,0.5072046568982707,0.3123754969434922,shell_0_4,Z,3.7205866979530546e-05,1129.5754468973025,2.3547106209718323e-06,0.0013837410936055857,3.875,-0.125,4.0,0.0
n128,0.5072046568982707,0.3123754969434922,shell_4_8,C,0.0349692052578169,5746.959271689271,0.0008490684726158655,0.021465118811470296,5.75,-0.125,5.375,0.0
n128,0.5072046568982707,0.3123754969434922,shell_4_8,H,0.020483502787450075,5746.959271689271,0.0007805243397255606,0.01945190690457821,5.75,-0.125,5.375,0.0
n128,0.5072046568982707,0.3123754969434922,shell_4_8,M,0.004017958896497837,5746.959271689271,0.000206014368218862,0.009675821889189239,5.125,-0.125,5.125,-0.125
n128,0.5072046568982707,0.3123754969434922,shell_4_8,Z,0.0023486568284655017,5746.959271689271,3.507358406756958e-05,0.0041115396158823495,4.75,-0.25,4.75,-0.25
n128,0.5072046568982707,0.3123754969434922,shell_8_12,C,7.163317003682713e-07,10643.923101481632,4.2673267827329806e-08,0.0001419344669535862,8.25,-0.25,8.0,-0.125
n128,0.5072046568982707,0.3123754969434922,shell_8_12,H,2.167329504569119e-07,10643.923101481632,2.8922075105607916e-08,6.873977690702304e-05,8.25,-0.25,8.25,0.0
n128,0.5072046568982707,0.3123754969434922,shell_8_12,M,9.667391641013977e-08,10643.923101481632,1.0237596532605262e-08,3.4499752350260504e-05,8.25,-0.75,8.25,-0.75
n128,0.5072046568982707,0.3123754969434922,shell_8_12,Z,8.377152304669807e-08,10643.923101481632,4.948690751142652e-09,6.745283143934668e-05,8.0,-0.125,8.0,-0.125
n128,0.5072046568982707,0.3123754969434922,shell_12_16,C,5.243862374052285e-14,17081.776613129103,6.858497219477073e-15,2.6987790098375157e-08,15.75,-0.5,15.75,0.0
n128,0.5072046568982707,0.3123754969434922,shell_12_16,H,4.942031047775361e-14,17081.776613129103,6.6161950835437594e-15,2.650894970201989e-08,15.75,-0.5,15.75,0.0
n128,0.5072046568982707,0.3123754969434922,shell_12_16,M,2.6794944989956405e-15,17081.776613129103,2.2486220436629854e-16,4.877202968720446e-09,15.75,-0.5,15.75,0.0
n128,0.5072046568982707,0.3123754969434922,shell_12_16,Z,4.1833849499992894e-17,17081.776613129103,2.884821333074807e-18,5.506535793936293e-10,15.75,0.5,15.75,0.0
n128,0.5072046568982707,0.3123754969434922,shell_gt_16,C,1.4661125535960779e-08,14255697.782563897,3.489307909342579e-10,4.5209477672412787e-07,128.0,-2.0,128.0,0.0
n128,0.5072046568982707,0.3123754969434922,shell_gt_16,H,1.4624821294472812e-08,14255697.782563897,3.4853587283491564e-10,4.5183904262557917e-07,128.0,-2.0,128.0,0.0
n128,0.5072046568982707,0.3123754969434922,shell_gt_16,M,1.978719947952764e-11,14255697.782563897,3.2199902529687987e-13,1.3729123264771525e-08,128.0,-2.0,128.0,0.0
n128,0.5072046568982707,0.3123754969434922,shell_gt_16,Z,9.45265477886868e-13,14255697.782563897,1.1686232380800498e-14,2.6145372182676195e-09,128.0,-2.0,128.0,0.0
n128,0.7608055358204662,0.4685625622416315,R4,C,0.00020749148245918143,1118.952430349422,1.167726705174759e-05,0.003508833371994642,3.875,-0.125,4.0,0.0
n128,0.7608055358204662,0.4685625622416315,R4,H,1.1533273673820532e-05,1118.952430349422,9.367356292022915e-07,0.0014424422988668084,4.0,0.0,4.0,0.0
n128,0.7608055358204662,0.4685625622416315,R4,M,1.3015274994629081e-05,1118.952430349422,6.893364989147279e-07,0.001237387050771341,4.0,0.0,4.0,0.0
n128,0.7608055358204662,0.4685625622416315,R4,Z,4.337642159138864e-05,1118.952430349422,2.5319053862048584e-06,0.001439224332741965,3.875,-0.125,4.0,0.0
n128,0.7608055358204662,0.4685625622416315,R8,C,0.015538831117374554,6876.792587914123,0.00040763129989203296,0.012714609166477594,5.375,-0.125,5.375,-0.125
n128,0.7608055358204662,0.4685625622416315,R8,H,0.003999251933526223,6876.792587914123,0.00014273040462303593,0.010271551087498665,5.0,-0.25,5.0,0.0
n128,0.7608055358204662,0.4685625622416315,R8,M,0.005709536776078824,6876.792587914123,0.00026963648943955385,0.010340905875505773,5.375,-0.125,5.375,-0.125
n128,0.7608055358204662,0.4685625622416315,R8,Z,0.001045071389707909,6876.792587914123,8.050040225883018e-06,0.0018866944199027716,4.75,-0.375,4.75,-0.375
n128,0.7608055358204662,0.4685625622416315,R12,C,0.015540615339447103,17520.651137531706,0.00040763129989203296,0.012714609166477594,5.375,-0.125,5.375,-0.125
n128,0.7608055358204662,0.4685625622416315,R12,H,0.003999856067079637,17520.651137531706,0.00014273040462303593,0.010271551087498665,5.0,-0.25,5.0,0.0
n128,0.7608055358204662,0.4685625622416315,R12,M,0.005709718696057792,17520.651137531706,0.00026963648943955385,0.010340905875505773,5.375,-0.125,5.375,-0.125
n128,0.7608055358204662,0.4685625622416315,R12,Z,0.0010452741232685903,17520.651137531706,8.050040225883018e-06,0.0018866944199027716,4.75,-0.375,4.75,-0.375
n128,0.7608055358204662,0.4685625622416315,R14,C,0.015540615339449915,25206.23555910752,0.00040763129989203296,0.012714609166477594,5.375,-0.125,5.375,-0.125
n128,0.7608055358204662,0.4685625622416315,R14,H,0.003999856067081362,25206.23555910752,0.00014273040462303593,0.010271551087498665,5.0,-0.25,5.0,0.0
n128,0.7608055358204662,0.4685625622416315,R14,M,0.005709718696058454,25206.23555910752,0.00026963648943955385,0.010340905875505773,5.375,-0.125,5.375,-0.125
n128,0.7608055358204662,0.4685625622416315,R14,Z,0.0010452741232686582,25206.23555910752,8.050040225883018e-06,0.0018866944199027716,4.75,-0.375,4.75,-0.375
n128,0.7608055358204662,0.4685625622416315,full,C,0.015540630252791026,14290300.640162973,0.00040763129989203296,0.012714609166477594,5.375,-0.125,5.375,-0.125
n128,0.7608055358204662,0.4685625622416315,full,H,0.0039998709012239115,14290300.640162973,0.00014273040462303593,0.010271551087498665,5.0,-0.25,5.0,0.0
n128,0.7608055358204662,0.4685625622416315,full,M,0.0057097187295898225,14290300.640162973,0.00026963648943955385,0.010340905875505773,5.375,-0.125,5.375,-0.125
n128,0.7608055358204662,0.4685625622416315,full,Z,0.001045274127275343,14290300.640162973,8.050040225883018e-06,0.0018866944199027716,4.75,-0.375,4.75,-0.375
n128,0.7608055358204662,0.4685625622416315,shell_0_4,C,0.00020749148245918143,1118.952430349422,1.167726705174759e-05,0.003508833371994642,3.875,-0.125,4.0,0.0
n128,0.7608055358204662,0.4685625622416315,shell_0_4,H,1.1533273673820532e-05,1118.952430349422,9.367356292022915e-07,0.0014424422988668084,4.0,0.0,4.0,0.0
n128,0.7608055358204662,0.4685625622416315,shell_0_4,M,1.3015274994629081e-05,1118.952430349422,6.893364989147279e-07,0.001237387050771341,4.0,0.0,4.0,0.0
n128,0.7608055358204662,0.4685625622416315,shell_0_4,Z,4.337642159138864e-05,1118.952430349422,2.5319053862048584e-06,0.001439224332741965,3.875,-0.125,4.0,0.0
n128,0.7608055358204662,0.4685625622416315,shell_4_8,C,0.015331339634915371,5757.840157564701,0.00040763129989203296,0.012714609166477594,5.375,-0.125,5.375,-0.125
n128,0.7608055358204662,0.4685625622416315,shell_4_8,H,0.003987718659852402,5757.840157564701,0.00014273040462303593,0.010271551087498665,5.0,-0.25,5.0,0.0
n128,0.7608055358204662,0.4685625622416315,shell_4_8,M,0.005696521501084196,5757.840157564701,0.00026963648943955385,0.010340905875505773,5.375,-0.125,5.375,-0.125
n128,0.7608055358204662,0.4685625622416315,shell_4_8,Z,0.0010016949681165203,5757.840157564701,8.050040225883018e-06,0.0018866944199027716,4.75,-0.375,4.75,-0.375
n128,0.7608055358204662,0.4685625622416315,shell_8_12,C,1.7842220725482722e-06,10643.858549617591,8.094328145961151e-08,0.00019758695209652838,8.25,-0.25,8.0,-0.125
n128,0.7608055358204662,0.4685625622416315,shell_8_12,H,6.041335534134207e-07,10643.858549617591,6.097996770683428e-08,0.00010019154433393851,8.25,-0.25,8.25,0.0
n128,0.7608055358204662,0.4685625622416315,shell_8_12,M,1.8191997896680119e-07,10643.858549617591,1.9226471276389644e-08,4.7293351314635846e-05,8.25,-0.75,8.25,-0.75
n128,0.7608055358204662,0.4685625622416315,shell_8_12,Z,2.0273356068128608e-07,10643.858549617591,9.035364455754094e-09,9.125399090926811e-05,8.0,-0.125,8.0,-0.125
n128,0.7608055358204662,0.4685625622416315,shell_12_16,C,3.43026047070714e-14,17081.881641774584,2.267469265542803e-15,1.558774879466814e-08,15.5,0.5,15.5,0.0
n128,0.7608055358204662,0.4685625622416315,shell_12_16,H,2.796884555786016e-14,17081.881641774584,2.0240198111676575e-15,1.501467394859901e-08,15.5,0.5,16.0,0.0
n128,0.7608055358204662,0.4685625622416315,shell_12_16,M,5.07147422027879e-15,17081.881641774584,3.3845746688945907e-16,5.990643253718205e-09,15.75,0.5,15.75,0.0
n128,0.7608055358204662,0.4685625622416315,shell_12_16,Z,8.820662541139205e-17,17081.881641774584,1.077551262226236e-18,3.449173409027577e-10,15.5,-0.25,12.0,-0.25
n128,0.7608055358204662,0.4685625622416315,shell_gt_16,C,1.4913309620213246e-08,14255698.107383667,3.5509021063589144e-10,4.5606685567677134e-07,128.0,-2.0,128.0,0.0
n128,0.7608055358204662,0.4685625622416315,shell_gt_16,H,1.4834116308607e-08,14255698.107383667,3.5426455513509395e-10,4.5553670702247473e-07,128.0,-2.0,128.0,0.0
n128,0.7608055358204662,0.4685625622416315,shell_gt_16,M,3.352695837410494e-11,14255698.107383667,5.227232058599192e-13,1.7491834146977073e-08,128.0,-2.0,128.0,0.0
n128,0.7608055358204662,0.4685625622416315,shell_gt_16,Z,4.006665085289774e-12,14255698.107383667,4.854854889918195e-14,5.328942972775424e-09,128.0,-2.0,128.0,0.0
n128,1.011844081974866,0.623172124422098,R4,C,0.00023221658732182568,1107.9758963815793,9.309913329869652e-06,0.002608500181754488,3.875,-0.125,3.875,0.0
n128,1.011844081974866,0.623172124422098,R4,H,2.3107047668276855e-05,1107.9758963815793,1.7924166487762947e-06,0.0012492367532104254,3.875,-0.25,3.875,0.0
n128,1.011844081974866,0.623172124422098,R4,M,1.564838823291354e-05,1107.9758963815793,9.945331615733607e-07,0.001314306069721349,3.875,-0.25,4.0,0.0
n128,1.011844081974866,0.623172124422098,R4,Z,4.5298697796360786e-05,1107.9758963815793,1.9030819416456518e-06,0.0011075332652458346,3.75,-0.125,3.75,0.0
n128,1.011844081974866,0.623172124422098,R8,C,0.017111091294969755,6877.639784282925,0.0004750707829900653,0.013380481742934821,5.5,-0.125,5.5,-0.125
n128,1.011844081974866,0.623172124422098,R8,H,0.009006787679272411,6877.639784282925,0.0003710324699249374,0.011824929155409336,5.5,-0.125,5.5,-0.125
n128,1.011844081974866,0.623172124422098,R8,M,0.002451751855566185,6877.639784282925,5.7585285259264186e-05,0.00627272856696474,5.0,-0.125,5.0,0.0
n128,1.011844081974866,0.623172124422098,R8,Z,0.0010422634278974662,6877.639784282925,2.117536669357536e-05,0.0028415617262276594,5.5,-0.125,5.5,0.0
n128,1.011844081974866,0.623172124422098,R12,C,0.01711490216809153,17521.14250615571,0.0004750707829900653,0.013380481742934821,5.5,-0.125,5.5,-0.125
n128,1.011844081974866,0.623172124422098,R12,H,0.009007968115659716,17521.14250615571,0.0003710324699249374,0.011824929155409336,5.5,-0.125,5.5,-0.125
n128,1.011844081974866,0.623172124422098,R12,M,0.002451904638678135,17521.14250615571,5.7585285259264186e-05,0.00627272856696474,5.0,-0.125,5.0,0.0
