resolution,time,axisTau,dt,cycle,C-norm2,H-norm2,M-norm2,Z-norm2,axisKret,axisLapse,max_abs_K,maxAbsKret,maxRefLev,nmb_total,C-Linf,C-rho,C-z,H-Linf,H-rho,H-z,M-Linf,M-rho,M-z,Z-Linf,Z-rho,Z-z
n128,0.0,0.0,0.010823312937405826,0.0,0.13050543148050306,0.12978443405020582,0.0,0.0001802493575743034,0.000565373933538557,0.6158765633256535,0.0,95.15344528541235,3.0,104.0,0.08299568199225232,5.25,0.0,0.08296075886230884,5.25,0.0,0.0,0.0,-128.0,0.001203714911110791,5.25,0.0
n128,0.0269739452256813,0.016612620688760807,0.005375115543903536,4.0,0.08796831833021003,0.06583006076280142,0.0001784082433828328,0.005487066245956984,0.0005654288598934242,0.6158765635567074,0.025973982519225586,104.46008876340126,5.0,212.0,0.05148802951697462,5.625,0.0,0.05029168421814542,5.625,0.0,0.002889506255974805,5.5625,0.0,0.0082746563124281,4.875,-0.0625
n128,0.048385846972342716,0.02979970915667699,0.005339815976518812,8.0,0.0818291108897808,0.05925808459247258,0.0008820201794024476,0.005413170556548775,0.0005654215867064714,0.615876563652869,0.04667056894051752,103.38394608179341,5.0,212.0,0.04919528453549779,5.625,0.0,0.04794331725005444,5.625,0.0,0.006133480759355263,5.5625,0.0,0.008173761267007472,4.875,-0.0625
n128,0.06964088100293646,0.04289018647730606,0.005298997915402048,12.0,0.07412525844261707,0.050817376926348794,0.002009893716809255,0.005305930179237676,0.0005654120053471116,0.6158765638130934,0.06691582191507014,101.87184789602159,5.0,212.0,0.045782639507126646,5.625,0.0,0.04443787259102629,5.625,0.0,0.009033528008076509,5.5625,0.0,0.008048620250789689,4.875,0.0625
n128,0.09074074842325758,0.055885100323867884,0.005259324392291569,16.0,0.06577626952122434,0.04154688772856399,0.003397487767842324,0.005177425408436573,0.0005654003243714322,0.6158765641088628,0.08662026020425999,99.99617981535778,5.0,212.0,0.0414430192465063,5.625,0.0,0.039957300951544275,5.625,0.0,0.011532792783518741,5.5625,0.0,0.00792203766980447,4.875,0.0625
n128,0.11168205051204642,0.06878235750730367,0.005221825232047733,20.0,0.05757140835747738,0.032352426760258006,0.004881299697331311,0.005040255578365404,0.0005653867288164144,0.6158765646336708,0.10569519463805385,97.82154996984859,5.0,212.0,0.036409201002863975,5.625,0.0,0.034726490077435446,5.625,0.0,0.013589036454781706,5.5625,0.0,0.0077912870086079495,4.875,-0.125
n128,0.13248614113047782,0.08159510937607392,0.005187882699500096,24.0,0.05007224124054619,0.02391478627061696,0.006317132973607253,0.004901471236351113,0.0005653713604987583,0.615876565502142,0.12407983500745047,95.4035156878492,5.0,212.0,0.03093949414504114,5.625,0.0,0.028998471568161106,5.625,0.0,0.01517523836621486,5.5625,0.0,0.007679244046428322,4.875,0.125
n128,0.15315631593821696,0.0943253856579989,0.005156240872447838,28.0,0.043633888475767796,0.016704650676840207,0.007586300461702991,0.004762569261522609,0.0005653543464116917,0.6158765668477538,0.14170338713999173,92.79508667397036,5.0,212.0,0.025456551796448425,5.3125,-0.375,0.023039890427094215,5.625,0.0,0.01627610352462833,5.5625,0.0,0.007489887570162769,4.875,-0.125
n128,0.17371751775529518,0.10698854806252042,0.005131582042388078,32.0,0.038449550347097156,0.011003068363846976,0.008601996867125568,0.004623845753038666,0.0005653357712616225,0.6158765688239695,0.15852190601725732,90.04224743434341,5.0,212.0,0.02246155269050128,5.3125,-0.3125,0.017674280402213707,5.3125,-0.375,0.016893968723086565,5.5625,0.0,0.007225310530796406,4.875,0.125
n128,0.1941923551801538,0.11959852070997902,0.005110590734158478,36.0,0.03461003564145345,0.006948086727420343,0.009307809922159549,0.004487990703694865,0.0005653156957645539,0.6158765716037979,0.17449814564712313,87.18521326298588,5.0,212.0,0.02094065376231105,5.5625,0.0,0.015096195255084904,5.3125,-0.3125,0.017048190780806476,5.5625,0.0,0.006910625377836709,4.875,-0.125
n128,0.21458842986630713,0.1321599852985788,0.00509288869102819,40.0,0.03212455717377321,0.004556124752106229,0.009676092511053424,0.0043603550962025865,0.0005652941740141489,0.6158765753773011,0.1895936990517221,84.25875716963148,5.0,212.0,0.02019739880803934,5.5625,0.0,0.012992889945214067,5.1875,0.125,0.01677389749734464,5.5625,0.0,0.006568452779975598,4.875,-0.125
n128,0.2349295763920852,0.14468762100865193,0.00508148795345452,44.0,0.030917728641250163,0.0037307964178286868,0.009706185376470841,0.00424642389741856,0.0005652712247358512,0.6158765803564724,0.20379309813466942,81.28737361723468,5.0,212.0,0.019219302523049497,5.5625,0.0,0.012147594102590531,5.5,0.25,0.016117435136659926,5.5625,0.0,0.006242506108078479,4.875,-0.1875
n128,0.255240013127071,0.15719634339323726,0.00507599735439851,48.0,0.0308373755108565,0.004286906619198936,0.009419722236423005,0.0041489688179319716,0.0005652468468793847,0.6158765867755989,0.2170893783281247,78.36330813240288,5.0,212.0,0.02143991659369252,5.5,-0.25,0.015990848963413754,5.5,-0.25,0.015130853807617178,5.5625,0.0,0.006071062250509259,5.4375,-0.1875
n128,0.2755352821828323,0.16969572450642262,0.005072453917483753,52.0,0.031670991076333,0.005975384713793328,0.00885685670901878,0.0040668977161644835,0.0005652210331861903,0.6158765948893705,0.2294772955954723,75.70397224041585,5.0,212.0,0.02389911258512278,5.5,-0.25,0.01891425676270321,5.5,-0.25,0.01386946114436597,5.5625,0.0,0.006161707974755262,5.5,0.1875
n128,0.2958251368949576,0.1821917712362678,0.005073143534758412,56.0,0.033173814357228,0.008511582456764873,0.008072585953251245,0.003996144301381419,0.0005651937707767672,0.6158766049724396,0.24095545974908167,72.96753960615419,5.0,212.0,0.025606731014085317,5.5,-0.25,0.020906951863204584,5.5,-0.25,0.012473837296108138,5.6875,-0.125,0.006363295205300775,5.5,0.1875
n128,0.3211653399586189,0.19779820966152908,0.010170946200561356,60.0,0.02844929968912566,0.009625077639916702,0.004114458091820133,0.0035155445943692337,0.000565157662107323,0.6158766207792145,0.2540277548431518,69.77489029488999,4.0,206.0,0.019429178131472654,5.5,0.25,0.015054590277392116,5.5,0.25,0.007772527539158318,5.875,0.0,0.005710389512625278,5.5,-0.25
n128,0.3619232174941034,0.22290003421054289,0.010205449072541962,64.0,0.028446405215981477,0.011365910430210499,0.0032120621683335675,0.00329138047831381,0.0005650946960372295,0.6158766551635253,0.27234143772707076,63.93569485032714,4.0,206.0,0.018533897104477264,5.5,-0.25,0.014908232415223654,5.5,-0.25,0.0066007498553516935,5.0,0.0,0.005225768353237784,5.5,-0.25
n128,0.4029122516249537,0.24814422438862707,0.010276662425933792,68.0,0.027525799981175755,0.011609182806556654,0.00304761017301824,0.0030211065780499317,0.0005650251099116137,0.6158767033565561,0.28740329590645086,57.94471383278044,4.0,206.0,0.017632831542943456,5.25,0.0,0.01621938712814458,5.25,0.0,0.006967080656803927,5.125,0.125,0.004580381711797464,5.5,-0.25
n128,0.4442685651505267,0.27361461572190227,0.010380320573275243,72.0,0.025924644669665372,0.01069402387948422,0.0034096948438836635,0.0027338324913372767,0.0005649482808081379,0.6158767689669375,0.2992007024135818,51.78507875962898,4.0,206.0,0.01812166902146732,5.25,0.0,0.016886957250316137,5.25,0.0,0.008334332117696039,5.125,0.125,0.00415228311473375,4.75,0.25
n128,0.48608805105532654,0.2993702673300748,0.010496576954499171,76.0,0.02388521044514897,0.009026009437707226,0.004084321667551642,0.002444550261052603,0.0005648635516096073,0.6158768561999654,0.30768144436141054,45.49304661819407,4.0,206.0,0.017493788832238292,5.25,0.0,0.01629010863498276,5.25,0.0,0.009531435070923822,5.125,0.125,0.003935438289066252,4.75,0.25
n128,0.5283849333360112,0.32541994052655,0.010624258656160351,80.0,0.02167106537133305,0.007042180299685092,0.004883851120723942,0.0021590196545476403,0.0005647703742018628,0.6158769697523145,0.31278059763219207,39.158610682321694,4.0,206.0,0.016342373169679902,5.125,0.0,0.014788547768163962,5.25,0.0,0.010492835327573518,5.125,0.125,0.003654065959504238,4.75,0.25
n128,0.5712580608093812,0.3518245153675701,0.010777666962044106,84.0,0.019557371355213706,0.0051480750175075425,0.005658461092991395,0.0018837842919135505,0.0005646679848779102,0.6158771152648693,0.3144653613626901,32.88843215170819,4.0,206.0,0.015809811174073242,5.125,0.0,0.012700617812061998,5.25,0.0,0.011177460782588024,5.125,-0.125,0.003282585042861321,4.75,0.25
