phase,writer,component,value
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gyy,1.0471838926193289
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gyy,1.0471838926193289
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gyy,1.0471838926193289
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gyy,1.0471838926193289
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gyy,1.0471869026759442
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gyy,1.0471869026759442
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_gyz,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_gyz,0.0
t3_00_RESTRICT,RESTRICT,z4c_gyz,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gyz,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gyz,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gyz,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gyz,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gyz,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gyz,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gyz,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gyz,0.0
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_gzz,0.8690952448518188
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_gzz,0.8690952448518188
t3_00_RESTRICT,RESTRICT,z4c_gzz,0.8690952448518188
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gzz,0.8690952448518188
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gzz,0.8690952448518188
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gzz,0.8690952448518188
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gzz,0.8690952448518188
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gzz,0.8690952448518188
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gzz,0.8690952448518188
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gzz,0.8690977430051131
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gzz,0.8690977430051131
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Khat,6.404196574153471
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Khat,6.404196574153471
t3_00_RESTRICT,RESTRICT,z4c_Khat,6.404196574153471
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Khat,6.404196574153471
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Khat,6.404196574153471
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Khat,6.404196574153471
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Khat,6.404196574153471
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Khat,6.404196574153471
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Khat,6.404196574153471
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Khat,6.404196574153471
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Khat,6.404196574153471
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Axx,0.2974959855368881
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Axx,0.2974959855368882
t3_00_RESTRICT,RESTRICT,z4c_Axx,0.2974959855368882
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Axx,0.2974959855368882
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Axx,0.2974959855368882
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Axx,0.2974959855368882
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Axx,0.2974959855368882
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Axx,0.2974959855368882
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Axx,0.2974959855368882
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Axx,0.2967270989939722
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Axx,0.2967270989939722
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Axy,0.2931502842708441
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Axy,0.2931502842708441
t3_00_RESTRICT,RESTRICT,z4c_Axy,0.2931502842708441
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Axy,0.2931502842708441
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Axy,0.2931502842708441
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Axy,0.2931502842708441
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Axy,0.2931502842708441
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Axy,0.2931502842708441
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Axy,0.2931502842708441
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Axy,0.2931511610413339
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Axy,0.2931511610413339
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Axz,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Axz,0.0
t3_00_RESTRICT,RESTRICT,z4c_Axz,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Axz,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Axz,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Axz,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Axz,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Axz,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Axz,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Axz,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Axz,0.0
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Ayy,1.6951239198055288
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Ayy,1.6951239198055286
t3_00_RESTRICT,RESTRICT,z4c_Ayy,1.6951239198055286
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Ayy,1.6951239198055286
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Ayy,1.6951239198055286
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Ayy,1.6951239198055286
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Ayy,1.6951239198055286
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Ayy,1.6951239198055286
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Ayy,1.6951239198055286
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Ayy,1.6943911312246398
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Ayy,1.6943911312246398
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Ayz,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Ayz,0.0
t3_00_RESTRICT,RESTRICT,z4c_Ayz,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Ayz,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Ayz,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Ayz,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Ayz,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Ayz,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Ayz,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Ayz,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Ayz,0.0
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Azz,-1.6408872338330662
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Azz,-1.640887233833066
t3_00_RESTRICT,RESTRICT,z4c_Azz,-1.640887233833066
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Azz,-1.640887233833066
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Azz,-1.640887233833066
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Azz,-1.640887233833066
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Azz,-1.640887233833066
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Azz,-1.640887233833066
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Azz,-1.640887233833066
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Azz,-1.6414954012004415
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Azz,-1.6414954012004415
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Gamx,0.1394591221686247
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Gamx,0.1394591221686247
t3_00_RESTRICT,RESTRICT,z4c_Gamx,0.1394591221686247
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Gamx,0.1394591221686247
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Gamx,0.1394591221686247
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Gamx,0.1394591221686247
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Gamx,0.1394591221686247
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Gamx,0.1394591221686247
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Gamx,0.1394591221686247
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Gamx,0.1394591221686247
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Gamx,0.1394591221686247
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Gamy,-0.0058990185341086425
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Gamy,-0.0058990185341086425
t3_00_RESTRICT,RESTRICT,z4c_Gamy,-0.0058990185341086425
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Gamy,-0.0058990185341086425
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Gamy,-0.0058990185341086425
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Gamy,-0.0058990185341086425
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Gamy,-0.0058990185341086425
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Gamy,-0.0058990185341086425
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Gamy,-0.0058990185341086425
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Gamy,-0.0058990185341086425
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Gamy,-0.0058990185341086425
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Gamz,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Gamz,0.0
t3_00_RESTRICT,RESTRICT,z4c_Gamz,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Gamz,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Gamz,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Gamz,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Gamz,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Gamz,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Gamz,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Gamz,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Gamz,0.0
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Theta,-0.3172894374910504
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Theta,-0.3172894374910503
t3_00_RESTRICT,RESTRICT,z4c_Theta,-0.3172894374910503
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Theta,-0.3172894374910503
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Theta,-0.3172894374910503
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Theta,-0.3172894374910503
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Theta,-0.3172894374910503
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Theta,-0.3172894374910503
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Theta,-0.3172894374910503
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Theta,-0.3172894374910503
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Theta,-0.3172894374910503
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_alpha,0.693512061684535
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_alpha,0.693512061684535
t3_00_RESTRICT,RESTRICT,z4c_alpha,0.693512061684535
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_alpha,0.693512061684535
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_alpha,0.693512061684535
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_alpha,0.693512061684535
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_alpha,0.693512061684535
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_alpha,0.693512061684535
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_alpha,0.693512061684535
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_alpha,0.693512061684535
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_alpha,0.693512061684535
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_betax,0.07214689163195127
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_betax,0.07214689163195127
t3_00_RESTRICT,RESTRICT,z4c_betax,0.07214689163195127
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_betax,0.07214689163195127
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_betax,0.07214689163195127
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_betax,0.07214689163195127
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_betax,0.07214689163195127
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_betax,0.07214689163195127
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_betax,0.07214689163195127
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_betax,0.07214689163195127
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_betax,0.07214689163195127
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_betay,-0.02310226836349772
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_betay,-0.02310226836349772
t3_00_RESTRICT,RESTRICT,z4c_betay,-0.02310226836349772
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_betay,-0.02310226836349772
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_betay,-0.02310226836349772
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_betay,-0.02310226836349772
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_betay,-0.02310226836349772
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_betay,-0.02310226836349772
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_betay,-0.02310226836349772
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_betay,-0.02310226836349772
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_betay,-0.02310226836349772
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_betaz,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_betaz,0.0
t3_00_RESTRICT,RESTRICT,z4c_betaz,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_betaz,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_betaz,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_betaz,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_betaz,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_betaz,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_betaz,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_betaz,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_betaz,0.0
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Bx,0.00386881277160568
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Bx,0.003868812771605679
t3_00_RESTRICT,RESTRICT,z4c_Bx,0.003868812771605679
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Bx,0.003868812771605679
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Bx,0.003868812771605679
